Trinity_geneID	seurat_name	Gene_short_automated	PROST_result	Musser_et_al_2021	Ruperti_et_al_2024	name_type	Zang_et_al_2026	name_source
c112444-g1	c112444-g1	c112444-g1	NA	NA	NA	trinity_only	c112444-g1	trinity_only
c112445-g1	c112445-g1	c112445-g1	NA	NA	NA	trinity_only	c112445-g1	trinity_only
c112446-g1	c112446-g1	c112446-g1	NA	NA	NA	trinity_only	c112446-g1	trinity_only
c112447-g1	c112447-g1	c112447-g1	NA	NA	NA	trinity_only	c112447-g1	trinity_only
c112448-g1	c112448-g1	c112448-g1	NA	NA	NA	trinity_only	c112448-g1	trinity_only
c112449-g1	c112449-g1	c112449-g1	NA	NA	NA	trinity_only	c112449-g1	trinity_only
c11245-g1	c11245-g1 (Zinc finger, NFX1-type containing 1) - emapper OG	Zinc finger, NFX1-type cont...	NA	NA	NA	description	Zinc finger, NFX1-type cont...	Gene_short_automated
c112450-g1	c112450-g1	c112450-g1	NA	NA	NA	trinity_only	c112450-g1	trinity_only
c112451-g1	c112451-g1 hs-GYPB	Gypb*	hs-GYPB	NA	NA	symbol	Gypb*	Gene_short_automated
c112452-g1	c112452-g1	c112452-g1	NA	NA	NA	trinity_only	c112452-g1	trinity_only
c112453-g1	c112453-g1 higB, Proteus vulgaris	Higb*	higB, Proteus vulgaris	NA	NA	symbol	Higb*	Gene_short_automated
c112454-g1	c112454-g1	c112454-g1	NA	NA	NA	trinity_only	c112454-g1	trinity_only
c112455-g1	c112455-g1	c112455-g1	NA	NA	NA	trinity_only	c112455-g1	trinity_only
c112456-g1	c112456-g1	c112456-g1	NA	NA	NA	trinity_only	c112456-g1	trinity_only
c112457-g1	c112457-g1	c112457-g1	NA	NA	NA	trinity_only	c112457-g1	trinity_only
c112458-g1	c112458-g1	c112458-g1	NA	NA	NA	trinity_only	c112458-g1	trinity_only
c112459-g1	c112459-g1	c112459-g1	NA	NA	NA	trinity_only	c112459-g1	trinity_only
c112460-g1	c112460-g1	c112460-g1	NA	NA	NA	trinity_only	c112460-g1	trinity_only
c112461-g1	c112461-g1	c112461-g1	NA	NA	NA	trinity_only	c112461-g1	trinity_only
c112463-g1	c112463-g1	c112463-g1	NA	NA	NA	trinity_only	c112463-g1	trinity_only
c112464-g1	c112464-g1	c112464-g1	NA	NA	NA	trinity_only	c112464-g1	trinity_only
c112465-g1	c112465-g1	c112465-g1	NA	NA	NA	trinity_only	c112465-g1	trinity_only
c112466-g1	c112466-g1 rpl21e, Halobacterium salinarum (strain ATCC 29341..	Rpl21e*	rpl21e, Halobacterium salinarum (strain ATCC 29341..	NA	NA	symbol	Rpl21e*	Gene_short_automated
c112467-g1	c112467-g1	c112467-g1	NA	NA	NA	trinity_only	c112467-g1	trinity_only
c112468-g1	c112468-g1	c112468-g1	NA	NA	NA	trinity_only	c112468-g1	trinity_only
c112469-g1	c112469-g1	c112469-g1	NA	NA	NA	trinity_only	c112469-g1	trinity_only
c112470-g1	c112470-g1	c112470-g1	NA	NA	NA	trinity_only	c112470-g1	trinity_only
c112471-g1	c112471-g1	c112471-g1	NA	NA	NA	trinity_only	c112471-g1	trinity_only
c112472-g1	c112472-g1 2-to-1 WT1 Wilms tumor 1	Wt1	NA	Wt1 B Wilms tumor 1	NA	symbol	Wt1 B	reviewed
c112473-g1	c112473-g1	c112473-g1	NA	NA	NA	trinity_only	c112473-g1	trinity_only
c112474-g1	c112474-g1	c112474-g1	NA	NA	NA	trinity_only	c112474-g1	trinity_only
c112475-g1	c112475-g1	c112475-g1	NA	NA	NA	trinity_only	c112475-g1	trinity_only
c112476-g1	c112476-g1 (protein Hydra magnipapillata) - emapper OG	protein Hydra magnipapillata	hs-EFNA4,EFNA1,EFNA5,EFNA3,EFNA2	NA	NA	description	protein Hydra magnipapillata	Gene_short_automated
c112477-g1	c112477-g1	c112477-g1	NA	NA	NA	trinity_only	c112477-g1	trinity_only
c112478-g1	c112478-g1	c112478-g1	NA	NA	NA	trinity_only	c112478-g1	trinity_only
c112482-g1	c112482-g1 KINB3, Arabidopsis thaliana	Kinb3*	KINB3, Arabidopsis thaliana	NA	NA	symbol	Kinb3*	Gene_short_automated
c112483-g1	c112483-g1	c112483-g1	NA	NA	NA	trinity_only	c112483-g1	trinity_only
c112484-g1	c112484-g1 rnp4, Picrophilus torridus (strain ATCC 700027 / D..	Rnp4*	rnp4, Picrophilus torridus (strain ATCC 700027 / D..	NA	NA	symbol	Rnp4*	Gene_short_automated
c112485-g1	c112485-g1	c112485-g1	NA	NA	NA	trinity_only	c112485-g1	trinity_only
c112486-g1	c112486-g1	c112486-g1	NA	NA	NA	trinity_only	c112486-g1	trinity_only
c112487-g1	c112487-g1	c112487-g1	NA	NA	NA	trinity_only	c112487-g1	trinity_only
c112488-g1	c112488-g1	c112488-g1	NA	NA	NA	trinity_only	c112488-g1	trinity_only
c112489-g1	c112489-g1	c112489-g1	NA	NA	NA	trinity_only	c112489-g1	trinity_only
c112490-g1	c112490-g1 dm-ave	Ave*	dm-ave	NA	NA	symbol	Ave*	Gene_short_automated
c112491-g1	c112491-g1 MCAP_0234.1, Mycoplasma capricolum subsp. capricol..	Mcap_0234.1	MCAP_0234.1, Mycoplasma capricolum subsp. capricol..	NA	NA	symbol	Mcap_0234.1	Gene_short_automated
c112492-g1	c112492-g1	c112492-g1	NA	NA	NA	trinity_only	c112492-g1	trinity_only
c112493-g1	c112493-g1	c112493-g1	NA	NA	NA	trinity_only	c112493-g1	trinity_only
c112494-g1	c112494-g1	c112494-g1	NA	NA	NA	trinity_only	c112494-g1	trinity_only
c112495-g1	c112495-g1	c112495-g1	NA	NA	NA	trinity_only	c112495-g1	trinity_only
c112496-g1	c112496-g1	c112496-g1	NA	NA	NA	trinity_only	c112496-g1	trinity_only
c112497-g1	c112497-g1	c112497-g1	NA	NA	NA	trinity_only	c112497-g1	trinity_only
c112498-g1	c112498-g1	c112498-g1	NA	NA	NA	trinity_only	c112498-g1	trinity_only
c112499-g1	c112499-g1	c112499-g1	NA	NA	NA	trinity_only	c112499-g1	trinity_only
c112500-g1	c112500-g1	c112500-g1	NA	NA	NA	trinity_only	c112500-g1	trinity_only
c112501-g1	c112501-g1	c112501-g1	NA	NA	NA	trinity_only	c112501-g1	trinity_only
c112502-g1	c112502-g1	c112502-g1	NA	NA	NA	trinity_only	c112502-g1	trinity_only
c112503-g1	c112503-g1	c112503-g1	NA	NA	NA	trinity_only	c112503-g1	trinity_only
c112504-g1	c112504-g1	c112504-g1	NA	NA	NA	trinity_only	c112504-g1	trinity_only
c112505-g1	c107068-g1 (heavy chain) - emapper OG	heavy chain	NA	NA	NA	description	heavy chain	Gene_short_automated
c112506-g1	c112506-g1	c112506-g1	NA	NA	NA	trinity_only	c112506-g1	trinity_only
c112507-g1	c112507-g1	c112507-g1	NA	NA	NA	trinity_only	c112507-g1	trinity_only
c112508-g1	c112508-g1	c112508-g1	NA	NA	NA	trinity_only	c112508-g1	trinity_only
c112509-g1	c112509-g1	c112509-g1	NA	NA	NA	trinity_only	c112509-g1	trinity_only
c112510-g1	c112510-g1	c112510-g1	NA	NA	NA	trinity_only	c112510-g1	trinity_only
c112511-g1	c112511-g1	c112511-g1	NA	NA	NA	trinity_only	c112511-g1	trinity_only
c112512-g1	c112512-g1	c112512-g1	NA	NA	NA	trinity_only	c112512-g1	trinity_only
c112513-g1	c112513-g1	c112513-g1	NA	NA	NA	trinity_only	c112513-g1	trinity_only
c112514-g1	c112514-g1	c112514-g1	NA	NA	NA	trinity_only	c112514-g1	trinity_only
c112515-g1	c112515-g1	c112515-g1	NA	NA	NA	trinity_only	c112515-g1	trinity_only
c112516-g1	c112516-g1	c112516-g1	NA	NA	NA	trinity_only	c112516-g1	trinity_only
c112517-g1	c112517-g1	c112517-g1	NA	NA	NA	trinity_only	c112517-g1	trinity_only
c112518-g1	c112518-g1	c112518-g1	NA	NA	NA	trinity_only	c112518-g1	trinity_only
c112519-g1	c112519-g1	c112519-g1	NA	NA	NA	trinity_only	c112519-g1	trinity_only
c112521-g1	c112521-g1	c112521-g1	NA	NA	NA	trinity_only	c112521-g1	trinity_only
c112522-g1	c112522-g1	c112522-g1	NA	NA	NA	trinity_only	c112522-g1	trinity_only
c112523-g1	c112523-g1	c112523-g1	NA	NA	NA	trinity_only	c112523-g1	trinity_only
c112524-g1	c112524-g1	c112524-g1	NA	NA	NA	trinity_only	c112524-g1	trinity_only
c112525-g1	c112525-g1	c112525-g1	NA	NA	NA	trinity_only	c112525-g1	trinity_only
c112526-g1	c112526-g1	c112526-g1	NA	NA	NA	trinity_only	c112526-g1	trinity_only
c112527-g1	c112527-g1	c112527-g1	NA	NA	NA	trinity_only	c112527-g1	trinity_only
c112528-g1	c112528-g1	c112528-g1	NA	NA	NA	trinity_only	c112528-g1	trinity_only
c112529-g1	c112529-g1	c112529-g1	NA	NA	NA	trinity_only	c112529-g1	trinity_only
c112530-g1	c112530-g1	c112530-g1	NA	NA	NA	trinity_only	c112530-g1	trinity_only
c112531-g1	c112531-g1	c112531-g1	NA	NA	NA	trinity_only	c112531-g1	trinity_only
c112532-g1	c112532-g1 hs-TCL1B	Tcl1b*	hs-TCL1B	NA	NA	symbol	Tcl1b*	Gene_short_automated
c112533-g1	c112533-g1	c112533-g1	NA	NA	NA	trinity_only	c112533-g1	trinity_only
c112534-g1	c112534-g1	c112534-g1	NA	NA	NA	trinity_only	c112534-g1	trinity_only
c112535-g1	c112535-g1	c112535-g1	NA	NA	NA	trinity_only	c112535-g1	trinity_only
c112536-g1	c101132-g1 1-to-1 CCDC174 coiled-coil domain containing 174	Ccdc174	hs-CCDC174	NA	NA	symbol	Ccdc174	Gene_short_automated
c112537-g1	c112537-g1	c112537-g1	NA	NA	NA	trinity_only	c112537-g1	trinity_only
c112538-g1	c112538-g1	c112538-g1	NA	NA	NA	trinity_only	c112538-g1	trinity_only
c112539-g1	c112539-g1	c112539-g1	NA	NA	NA	trinity_only	c112539-g1	trinity_only
c112540-g1	c112540-g1	c112540-g1	NA	NA	NA	trinity_only	c112540-g1	trinity_only
c112541-g1	c112541-g1	c112541-g1	NA	NA	NA	trinity_only	c112541-g1	trinity_only
c112542-g1	c112542-g1	c112542-g1	NA	NA	NA	trinity_only	c112542-g1	trinity_only
c112543-g1	c102736-g8 1-to-1 DYNC1H1 dynein cytoplasmic 1 heavy chain 1	Dync1h1	hs-DYNC1H1,DNAH2,DYNC2H1,DNAH10,DNAH11,DNAH9,DNAH8,DN..	NA	NA	symbol	Dync1h1	Gene_short_automated
c112544-g1	c112544-g1	c112544-g1	NA	NA	NA	trinity_only	c112544-g1	trinity_only
c112545-g1	c112545-g1 hs-SPAAR,NCMAP,SMIM29,ENHO,SNN,MLANA,SMIM19,C1orf210,..	Spaar*	hs-SPAAR,NCMAP,SMIM29,ENHO,SNN,MLANA,SMIM19,C1orf210,..	NA	NA	symbol	Spaar*	Gene_short_automated
c112546-g1	c112546-g1 hs-KRTAP25-1,PRNP	Krtap25-1*	hs-KRTAP25-1,PRNP	NA	NA	symbol	Krtap25-1*	Gene_short_automated
c112547-g1	c112547-g1	c112547-g1	NA	NA	NA	trinity_only	c112547-g1	trinity_only
c112548-g1	c112548-g1	c112548-g1	NA	NA	NA	trinity_only	c112548-g1	trinity_only
c112549-g1	c112549-g1	c112549-g1	NA	NA	NA	trinity_only	c112549-g1	trinity_only
c112550-g1	c112550-g1	c112550-g1	NA	NA	NA	trinity_only	c112550-g1	trinity_only
c112551-g1	c112551-g1	c112551-g1	NA	NA	NA	trinity_only	c112551-g1	trinity_only
c112552-g1	c112552-g1	c112552-g1	NA	NA	NA	trinity_only	c112552-g1	trinity_only
c112553-g1	c112553-g1 1-to-1 DIXDC1 DIX domain containing 1	Dixdc1	NA	NA	NA	symbol	Dixdc1	Gene_short_automated
c112554-g1	c112554-g1	c112554-g1	NA	NA	NA	trinity_only	c112554-g1	trinity_only
c112555-g1	c112555-g1	c112555-g1	NA	NA	NA	trinity_only	c112555-g1	trinity_only
c112556-g1	c112556-g1	c112556-g1	NA	NA	NA	trinity_only	c112556-g1	trinity_only
c112557-g1	c112557-g1	c112557-g1	NA	NA	NA	trinity_only	c112557-g1	trinity_only
c112558-g1	c112558-g1	c112558-g1	NA	NA	NA	trinity_only	c112558-g1	trinity_only
c112559-g1	c112559-g1	c112559-g1	NA	NA	NA	trinity_only	c112559-g1	trinity_only
c112561-g1	c112561-g1	c112561-g1	NA	NA	NA	trinity_only	c112561-g1	trinity_only
c112562-g1	c112562-g1	c112562-g1	NA	NA	NA	trinity_only	c112562-g1	trinity_only
c112563-g1	c112563-g1	c112563-g1	NA	NA	NA	trinity_only	c112563-g1	trinity_only
c112564-g1	c112564-g1	c112564-g1	NA	NA	NA	trinity_only	c112564-g1	trinity_only
c112565-g1	c112565-g1	c112565-g1	NA	NA	NA	trinity_only	c112565-g1	trinity_only
c112566-g1	c112566-g1	c112566-g1	NA	NA	NA	trinity_only	c112566-g1	trinity_only
c112567-g1	c112567-g1	c112567-g1	NA	NA	NA	trinity_only	c112567-g1	trinity_only
c112568-g1	c112568-g1	c112568-g1	NA	NA	NA	trinity_only	c112568-g1	trinity_only
c112569-g1	c112569-g1	c112569-g1	NA	NA	NA	trinity_only	c112569-g1	trinity_only
c112571-g1	c112571-g1	c112571-g1	NA	NA	NA	trinity_only	c112571-g1	trinity_only
c112572-g1	c112572-g1	c112572-g1	NA	NA	NA	trinity_only	c112572-g1	trinity_only
c112573-g1	c112573-g1	c112573-g1	NA	NA	NA	trinity_only	c112573-g1	trinity_only
c112574-g1	c112574-g1	c112574-g1	NA	NA	NA	trinity_only	c112574-g1	trinity_only
c112575-g1	c112575-g1 ARHGEF39 (Rho guanine nucleotide exchange factor (GEF) 39) - emapper OG	Arhgef39	NA	NA	NA	symbol	Arhgef39	Gene_short_automated
c112576-g1	c112576-g1	c112576-g1	NA	NA	NA	trinity_only	c112576-g1	trinity_only
c112577-g1	c112577-g1	c112577-g1	NA	NA	NA	trinity_only	c112577-g1	trinity_only
c112578-g1	c112578-g1	c112578-g1	NA	NA	NA	trinity_only	c112578-g1	trinity_only
c112579-g1	c112579-g1	c112579-g1	NA	NA	NA	trinity_only	c112579-g1	trinity_only
c112580-g1	c112580-g1 SPEAR1, Arabidopsis thaliana	Spear1*	SPEAR1, Arabidopsis thaliana	NA	NA	symbol	Spear1*	Gene_short_automated
c112581-g1	c112581-g1	c112581-g1	NA	NA	NA	trinity_only	c112581-g1	trinity_only
c112582-g1	c112582-g1	c112582-g1	NA	NA	NA	trinity_only	c112582-g1	trinity_only
c112583-g1	c112583-g1	c112583-g1	NA	NA	NA	trinity_only	c112583-g1	trinity_only
c112584-g1	c112584-g1	c112584-g1	NA	NA	NA	trinity_only	c112584-g1	trinity_only
c112585-g1	c112585-g1	c112585-g1	NA	NA	NA	trinity_only	c112585-g1	trinity_only
c112586-g1	c112586-g1	c112586-g1	NA	NA	NA	trinity_only	c112586-g1	trinity_only
c112589-g1	c112589-g1	c112589-g1	NA	NA	NA	trinity_only	c112589-g1	trinity_only
c112590-g1	c112590-g1 1-to-1 SWSAP1 SWIM-type zinc finger 7 associated protein 1	Swsap1	hs-XRCC2	NA	NA	symbol	Swsap1	Gene_short_automated
c112591-g1	c112591-g1	c112591-g1	NA	NA	NA	trinity_only	c112591-g1	trinity_only
c112592-g1	c112592-g1	c112592-g1	NA	NA	NA	trinity_only	c112592-g1	trinity_only
c112593-g1	c112593-g1	c112593-g1	NA	NA	NA	trinity_only	c112593-g1	trinity_only
c112594-g1	c112594-g1	c112594-g1	NA	NA	NA	trinity_only	c112594-g1	trinity_only
c112595-g1	c112595-g1	c112595-g1	NA	NA	NA	trinity_only	c112595-g1	trinity_only
c112596-g1	c112596-g1	c112596-g1	NA	NA	NA	trinity_only	c112596-g1	trinity_only
c112597-g1	c112597-g1	c112597-g1	NA	NA	NA	trinity_only	c112597-g1	trinity_only
c112598-g1	c112598-g1	c112598-g1	NA	NA	NA	trinity_only	c112598-g1	trinity_only
c112599-g1	c112599-g1	c112599-g1	NA	NA	NA	trinity_only	c112599-g1	trinity_only
c112600-g1	c112600-g1 TSC3, Kluyveromyces lactis	Tsc3*	TSC3, Kluyveromyces lactis	NA	NA	symbol	Tsc3*	Gene_short_automated
c112601-g1	c112601-g1	c112601-g1	NA	NA	NA	trinity_only	c112601-g1	trinity_only
c112602-g1	c112602-g1	c112602-g1	NA	NA	NA	trinity_only	c112602-g1	trinity_only
c112603-g1	c112603-g1	c112603-g1	NA	NA	NA	trinity_only	c112603-g1	trinity_only
c112604-g1	c112604-g1	c112604-g1	NA	NA	NA	trinity_only	c112604-g1	trinity_only
c112605-g1	c112605-g1	c112605-g1	NA	NA	NA	trinity_only	c112605-g1	trinity_only
c112606-g1	c112606-g1	c112606-g1	NA	NA	NA	trinity_only	c112606-g1	trinity_only
c112607-g1	c112607-g1	c112607-g1	NA	NA	NA	trinity_only	c112607-g1	trinity_only
c112609-g1	c112609-g1 RPL13 (60S ribosomal protein L13) - emapper OG	Rpl13	NA	NA	NA	symbol	Rpl13	Gene_short_automated
c112610-g1	c112610-g1	c112610-g1	NA	NA	NA	trinity_only	c112610-g1	trinity_only
c112611-g1	c112611-g1	c112611-g1	NA	NA	NA	trinity_only	c112611-g1	trinity_only
c112612-g1	c112612-g1	c112612-g1	NA	NA	NA	trinity_only	c112612-g1	trinity_only
c112613-g1	c112613-g1	c112613-g1	NA	NA	NA	trinity_only	c112613-g1	trinity_only
c112614-g1	c112614-g1 (Collagen triple helix repeat (20 copies)) - emapper OG	20 copies	NA	NA	NA	description	20 copies	Gene_short_automated
c112615-g1	c112615-g1	c112615-g1	NA	NA	NA	trinity_only	c112615-g1	trinity_only
c112616-g1	c112616-g1	c112616-g1	NA	NA	NA	trinity_only	c112616-g1	trinity_only
c112617-g1	c112617-g1	c112617-g1	NA	NA	NA	trinity_only	c112617-g1	trinity_only
c112618-g1	c112618-g1 81, Sulfolobus islandicus rod-shaped virus 1	81*	81, Sulfolobus islandicus rod-shaped virus 1	NA	NA	symbol	81*	Gene_short_automated
c112619-g1	c112619-g1	c112619-g1	NA	NA	NA	trinity_only	c112619-g1	trinity_only
c112620-g1	c112620-g1	c112620-g1	NA	NA	NA	trinity_only	c112620-g1	trinity_only
c112621-g1	c112621-g1	c112621-g1	NA	NA	NA	trinity_only	c112621-g1	trinity_only
c112622-g1	c112622-g1	c112622-g1	NA	NA	NA	trinity_only	c112622-g1	trinity_only
c112623-g1	c112623-g1	c112623-g1	NA	NA	NA	trinity_only	c112623-g1	trinity_only
c112624-g1	c112624-g1	c112624-g1	NA	NA	NA	trinity_only	c112624-g1	trinity_only
c112625-g1	c112625-g1	c112625-g1	NA	NA	NA	trinity_only	c112625-g1	trinity_only
c112626-g1	c112626-g1	c112626-g1	NA	NA	NA	trinity_only	c112626-g1	trinity_only
c112627-g1	c112627-g1 hs-LINC00052	Linc00052*	hs-LINC00052	NA	NA	symbol	Linc00052*	Gene_short_automated
c112628-g1	c112628-g1	c112628-g1	NA	NA	NA	trinity_only	c112628-g1	trinity_only
c112629-g1	c112629-g1	c112629-g1	NA	NA	NA	trinity_only	c112629-g1	trinity_only
c112630-g1	c112630-g1 hs-GAPT,FAM163A,FAM163B	Gapt*	hs-GAPT,FAM163A,FAM163B	NA	NA	symbol	Gapt*	Gene_short_automated
c112631-g1	c112631-g1	c112631-g1	NA	NA	NA	trinity_only	c112631-g1	trinity_only
c112632-g1	c112632-g1	c112632-g1	NA	NA	NA	trinity_only	c112632-g1	trinity_only
c112633-g1	c110299-g1 1-to-1 GLMN glomulin, FKBP associated protein	Glmn	Thrsp, Mus musculus	NA	NA	symbol	Glmn	Gene_short_automated
c112634-g1	c112634-g1	c112634-g1	NA	NA	NA	trinity_only	c112634-g1	trinity_only
c112635-g1	c112635-g1 2-to-2 SDCBP,SDCBP2 syndecan binding protein	Sdcbp/2	hs-TAX1BP3,PDZD11	NA	NA	symbol	Sdcbp/2	Gene_short_automated
c112636-g1	c112636-g1	c112636-g1	NA	NA	NA	trinity_only	c112636-g1	trinity_only
c112637-g1	c112637-g1	c112637-g1	NA	NA	NA	trinity_only	c112637-g1	trinity_only
c112638-g1	c112638-g1	c112638-g1	NA	NA	NA	trinity_only	c112638-g1	trinity_only
c112639-g1	c112639-g1	c112639-g1	NA	NA	NA	trinity_only	c112639-g1	trinity_only
c112640-g1	c112640-g1	c112640-g1	NA	NA	NA	trinity_only	c112640-g1	trinity_only
c112641-g1	c112641-g1	c112641-g1	NA	NA	NA	trinity_only	c112641-g1	trinity_only
c112642-g1	c112642-g1	c112642-g1	NA	NA	NA	trinity_only	c112642-g1	trinity_only
c112643-g1	c112643-g1	c112643-g1	NA	NA	NA	trinity_only	c112643-g1	trinity_only
c112644-g1	c112644-g1	c112644-g1	NA	NA	NA	trinity_only	c112644-g1	trinity_only
c112645-g1	c112645-g1 esaB, Staphylococcus aureus (strain Newman)	Esab*	esaB, Staphylococcus aureus (strain Newman)	NA	NA	symbol	Esab*	Gene_short_automated
c112646-g1	c112646-g1	c112646-g1	NA	NA	NA	trinity_only	c112646-g1	trinity_only
c112647-g1	c112647-g1	c112647-g1	NA	NA	NA	trinity_only	c112647-g1	trinity_only
c112648-g1	c112648-g1	c112648-g1	NA	NA	NA	trinity_only	c112648-g1	trinity_only
c112649-g1	c112649-g1	c112649-g1	NA	NA	NA	trinity_only	c112649-g1	trinity_only
c112650-g1	c112650-g1	c112650-g1	NA	NA	NA	trinity_only	c112650-g1	trinity_only
c112651-g1	c112651-g1	c112651-g1	NA	NA	NA	trinity_only	c112651-g1	trinity_only
c112652-g1	c112652-g1	c112652-g1	NA	NA	NA	trinity_only	c112652-g1	trinity_only
c112653-g1	c112653-g1	c112653-g1	NA	NA	NA	trinity_only	c112653-g1	trinity_only
c112655-g1	c112655-g1	c112655-g1	NA	NA	NA	trinity_only	c112655-g1	trinity_only
c112656-g1	c112656-g1	c112656-g1	NA	NA	NA	trinity_only	c112656-g1	trinity_only
c112657-g1	c112657-g1	c112657-g1	NA	NA	NA	trinity_only	c112657-g1	trinity_only
c112658-g1	c112658-g1	c112658-g1	NA	NA	NA	trinity_only	c112658-g1	trinity_only
c112659-g1	c100752-g1 1-to-1 DNAH3 dynein axonemal heavy chain 3	Dnah3	NA	NA	NA	symbol	Dnah3	Gene_short_automated
c112660-g1	c112660-g1	c112660-g1	NA	NA	NA	trinity_only	c112660-g1	trinity_only
c112662-g1	c112662-g1	c112662-g1	NA	NA	NA	trinity_only	c112662-g1	trinity_only
c112663-g1	c112663-g1	c112663-g1	NA	NA	NA	trinity_only	c112663-g1	trinity_only
c112664-g1	c112664-g1	c112664-g1	NA	NA	NA	trinity_only	c112664-g1	trinity_only
c112665-g1	c112665-g1	c112665-g1	NA	NA	NA	trinity_only	c112665-g1	trinity_only
c112666-g1	c112666-g1	c112666-g1	NA	NA	NA	trinity_only	c112666-g1	trinity_only
c112667-g1	c112667-g1	c112667-g1	NA	NA	NA	trinity_only	c112667-g1	trinity_only
c112668-g1	c112668-g1	c112668-g1	NA	NA	NA	trinity_only	c112668-g1	trinity_only
c112669-g1	c112669-g1	c112669-g1	NA	NA	NA	trinity_only	c112669-g1	trinity_only
c112670-g1	c112670-g1	c112670-g1	NA	NA	NA	trinity_only	c112670-g1	trinity_only
c112671-g1	c112671-g1	c112671-g1	NA	NA	NA	trinity_only	c112671-g1	trinity_only
c112672-g1	c112672-g1	c112672-g1	NA	NA	NA	trinity_only	c112672-g1	trinity_only
c112673-g1	c112673-g1	c112673-g1	NA	NA	NA	trinity_only	c112673-g1	trinity_only
c112674-g1	c112674-g1	c112674-g1	NA	NA	NA	trinity_only	c112674-g1	trinity_only
c112675-g1	c112675-g1	c112675-g1	NA	NA	NA	trinity_only	c112675-g1	trinity_only
c112676-g1	c112676-g1	c112676-g1	NA	NA	NA	trinity_only	c112676-g1	trinity_only
c112677-g1	c112677-g1	c112677-g1	NA	NA	NA	trinity_only	c112677-g1	trinity_only
c112678-g1	c112678-g1	c112678-g1	NA	NA	NA	trinity_only	c112678-g1	trinity_only
c112679-g1	c112679-g1	c112679-g1	NA	NA	NA	trinity_only	c112679-g1	trinity_only
c112680-g1	c112680-g1	c112680-g1	NA	NA	NA	trinity_only	c112680-g1	trinity_only
c112681-g1	c112681-g1	c112681-g1	NA	NA	NA	trinity_only	c112681-g1	trinity_only
c112682-g1	c112682-g1	c112682-g1	NA	NA	NA	trinity_only	c112682-g1	trinity_only
c112683-g1	c112683-g1	c112683-g1	NA	NA	NA	trinity_only	c112683-g1	trinity_only
c112684-g1	c112684-g1	c112684-g1	NA	NA	NA	trinity_only	c112684-g1	trinity_only
c112685-g1	c112685-g1	c112685-g1	NA	NA	NA	trinity_only	c112685-g1	trinity_only
c112686-g1	c112686-g1	c112686-g1	NA	NA	NA	trinity_only	c112686-g1	trinity_only
c112687-g1	c112687-g1	c112687-g1	NA	NA	NA	trinity_only	c112687-g1	trinity_only
c112688-g1	c112688-g1	c112688-g1	NA	NA	NA	trinity_only	c112688-g1	trinity_only
c112689-g1	c112689-g1	c112689-g1	NA	NA	NA	trinity_only	c112689-g1	trinity_only
c112690-g1	c112690-g1	c112690-g1	NA	NA	NA	trinity_only	c112690-g1	trinity_only
c112691-g1	c112691-g1	c112691-g1	NA	NA	NA	trinity_only	c112691-g1	trinity_only
c112692-g1	c112692-g1	c112692-g1	NA	NA	NA	trinity_only	c112692-g1	trinity_only
c112693-g1	c112693-g1	c112693-g1	NA	NA	NA	trinity_only	c112693-g1	trinity_only
c112695-g1	c112695-g1 HSP90AA1 (Molecular chaperone that promotes the maturation, structural maintenance and proper regul	Hsp90aa1	NA	NA	NA	symbol	Hsp90aa1	Gene_short_automated
c112696-g1	c112696-g1	c112696-g1	NA	NA	NA	trinity_only	c112696-g1	trinity_only
c112697-g1	c112697-g1	c112697-g1	NA	NA	NA	trinity_only	c112697-g1	trinity_only
c112698-g1	c112698-g1	c112698-g1	NA	NA	NA	trinity_only	c112698-g1	trinity_only
c112699-g1	c112699-g1	c112699-g1	NA	NA	NA	trinity_only	c112699-g1	trinity_only
c112700-g1	c112700-g1	c112700-g1	NA	NA	NA	trinity_only	c112700-g1	trinity_only
c112701-g1	c112701-g1	c112701-g1	NA	NA	NA	trinity_only	c112701-g1	trinity_only
c112702-g1	c112702-g1 hs-SMIM35,SPAAR,LINC00301,SNN	Smim35*	hs-SMIM35,SPAAR,LINC00301,SNN	NA	NA	symbol	Smim35*	Gene_short_automated
c112703-g1	c112703-g1	c112703-g1	NA	NA	NA	trinity_only	c112703-g1	trinity_only
c112704-g1	c112704-g1	c112704-g1	NA	NA	NA	trinity_only	c112704-g1	trinity_only
c112705-g1	c112705-g1	c112705-g1	NA	NA	NA	trinity_only	c112705-g1	trinity_only
c112706-g1	c112706-g1	c112706-g1	NA	NA	NA	trinity_only	c112706-g1	trinity_only
c112707-g1	c112707-g1 1-to-1 WSB1 WD repeat and SOCS box containing 1	Wsb1	NA	NA	NA	symbol	Wsb1	Gene_short_automated
c112708-g1	c112708-g1	c112708-g1	NA	NA	NA	trinity_only	c112708-g1	trinity_only
c112709-g1	c112709-g1 (Gamma-aminobutyric acid (GABA) B receptor) - emapper OG	GABA	NA	Gabbr1/2 G Gamma-aminobutyric acid B receptor	NA	symbol	Gabbr1/2 G	reviewed
c112710-g1	c112710-g1	c112710-g1	NA	NA	NA	trinity_only	c112710-g1	trinity_only
c112711-g1	c112711-g1	c112711-g1	NA	NA	NA	trinity_only	c112711-g1	trinity_only
c112713-g1	c112713-g1	c112713-g1	NA	NA	NA	trinity_only	c112713-g1	trinity_only
c112714-g1	c112714-g1	c112714-g1	NA	NA	NA	trinity_only	c112714-g1	trinity_only
